-68.58	-83.1	-60.29
64.75	2.38	-21.7
-86.01	-90.14	-81.32
-77.68	-58.09	-85.78
-55.29	88.29	-10.98
-67.25	-80.8	20.48
41.53	66.84	-97.71
-15.08	-68.85	-52.8
-70.42	-36.34	41.51
41.97	0.1	25.68
30.49	-8.1	-77.36
-67.34	-63.7	96.27
64.84	48.12	38.81
-36.77	-41.38	81.33
25.57	74.44	-2.11
18.37	90.14	17.8
-65.89	-61.4	74.96
-27.16	-77.59	38.16
-7.11	-32.63	10.01
-84.83	-72.44	24.43
54.29	21.74	88.81
54.78	73.12	79.95
11.34	-68.08	42.49
47.69	16.18	14.78
90.46	-6.44	48.01
34.01	49.36	-99.54
68.89	-87.43	86.88
36.38	14.49	31.22
16.09	-43.73	6.12
-56.34	-58.69	97.04
-96.43	26.7	-68.41
-31.95	-41.71	92.77
1.62	29.74	-38.11
71.23	51.54	75.67
82.76	54.82	-88.0
-97.78	55.33	-80.61
-82.98	63.67	-11.45
-34.97	-51.51	-29.79
-41.38	1.67	-97.71
34.52	38.31	45.11
-20.39	-96.13	-26.52
80.85	-56.24	5.95
-26.45	-42.95	-24.68
76.6	-58.73	7.26
-42.24	28.31	-89.02
-8.92	81.92	12.41
-57.01	48.95	37.9
28.6	-83.79	89.99
-33.49	-93.39	-73.25
-73.74	-51.59	5.78
-11.76	-88.49	-41.23
40.07	-31.42	0.89
-82.79	-49.57	-57.3
37.76	-57.75	-87.58
19.52	-4.19	52.82
60.16	-63.47	-70.62
-98.68	55.62	45.36
48.94	-52.43	-70.45
99.62	-17.41	14.31
97.79	15.72	-17.43
63.43	9.07	-72.82
-72.83	47.1	65.71
-49.88	30.44	6.99
-20.9	-51.35	-26.67
-81.22	-24.75	-98.74
-12.57	71.58	-11.53
-82.55	5.24	-70.75
-35.61	-70.9	99.12
-19.67	-93.13	-9.94
-95.05	31.36	-45.94
48.7	54.6	-63.45
85.01	-24.87	-90.7
-29.1	-37.29	-57.22
43.26	-8.81	38.13
87.55	22.08	58.14
-22.35	-65.42	-58.77
37.44	53.65	6.77
-49.79	66.32	48.13
-16.69	3.83	26.71
-38.76	-66.42	-17.8
85.71	-17.56	-54.23
-49.4	-83.28	-37.74
-44.62	-73.71	72.56
21.67	-14.53	-71.89
-34.06	2.06	74.72
-75.98	-45.54	22.51
-61.97	97.04	73.88
-72.32	-31.1	-57.97
19.43	-84.5	-69.74
68.96	66.21	-71.47
-47.25	-7.12	-37.96
47.2	-75.73	-55.36
90.3	-47.72	-57.27
-4.08	-55.2	-77.13
-27.21	99.81	54.49
27.28	-37.03	84.36
-21.42	-7.05	-16.2
98.68	-99.12	-94.21
-10.97	41.45	-98.26
-68.92	-37.95	-32.8
-47.57	-40.33	5.71
-38.74	65.13	6.6
-40.89	36.82	38.64
51.51	5.99	-88.39
-20.22	-36.81	-18.11
-39.24	-51.58	18.97
85.04	-7.79	99.44
-99.2	-72.28	70.48
-43.65	60.53	46.44
39.39	98.15	-77.11
-4.72	-97.57	46.43
-22.56	-21.74	96.07
85.87	-70.41	94.01
93.34	49.31	45.33
-79.99	51.39	65.12
-48.9	-89.79	-62.6
-45.74	-7.53	-63.2
-16.39	-90.48	-30.46
